Age#,Boarding point 1,Cabin,Category,Class,Destination,destination,Embarked,Gender,Name,NameRaw,Origin,Parch - Calc,parch calc 2,Passenger Id,Port,Sex,SibSp - Calc,sibsp calc2,Survived,Survived - Calc,Survived num,Ticket,Age,Dest Lat,Dest Long,Dest point,Fare,Fare Rounded,Number of Passengers,Origin Lat,Origin Lon,Origin Point,Parch,Pclass,Route,Sib Sp,Survival Percentage,SurvivedRaw,Wreck ship Latitude,Wreck ship longitude
30,Southampton,L9,Women,Third,"New York, United States",New York,Q,Female,"Mrs. Thomas (Johanna ""Hannah"" Godfrey) O'Brien","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Southampton,0,No,187,Queenstown,female,1,Yes,Survived,Survived,,370365,30,40.6677,-74.0407,Point,15.5,15,1,50.9167,-1.38333,Point,0,3,LineString,1,1,1,41.726931,-49.948253
44,Southampton,L9,Men,First,"New York, United States",New York,S,Male,"Mr. Charles Hallace (""Mr C Rolmane"") Romaine","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Southampton,0,No,188,Southampton,male,0,No,Survived,Survived,,111428,45,40.6677,-74.0407,Point,26.55,26,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
40,Southampton,L9,Men,Third,"New York, United States",New York,Q,Male,Mr. John Bourke,"Bourke, Mr. John",Southampton,1,Yes,189,Queenstown,male,1,Yes,Not Survived,Died,,364849,40,40.6677,-74.0407,Point,15.5,15,1,50.9167,-1.38333,Point,1,3,LineString,1,0,0,41.726931,-49.948253
36,Southampton,L9,Men,Third,"New York, United States",New York,S,Male,Mr. Stjepan Turcin,"Turcin, Mr. Stjepan",Southampton,0,No,190,Southampton,male,0,No,Not Survived,Died,,349247,36,40.6677,-74.0407,Point,7.8958,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
32,Southampton,L9,Women,Second,"New York, United States",New York,S,Female,Mrs. (Rosa) Pinsky,"Pinsky, Mrs. (Rosa)",Southampton,0,No,191,Southampton,female,0,No,Survived,Survived,,234604,32,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
18,Southampton,L9,Men,Second,"New York, United States",New York,S,Male,Mr. William Carbines,"Carbines, Mr. William",Southampton,0,No,192,Southampton,male,0,No,Not Survived,Died,,28424,19,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
18,Southampton,L9,Women,Third,"New York, United States",New York,S,Female,Miss. Carla Christine Nielsine Andersen-Jensen,"Andersen-Jensen, Miss. Carla Christine Nielsine",Southampton,0,No,193,Southampton,female,1,Yes,Survived,Survived,,350046,19,40.6677,-74.0407,Point,7.8542,7,1,50.9167,-1.38333,Point,0,3,LineString,1,1,1,41.726931,-49.948253
2,Southampton,F2,Children,Second,"New York, United States",New York,S,Male,Master. Michel M Navratil,"Navratil, Master. Michel M",Southampton,1,Yes,194,Southampton,male,1,Yes,Survived,Survived,,230080,3,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,1,2,LineString,1,1,1,41.726931,-49.948253
44,Southampton,B4,Women,First,"New York, United States",New York,C,Female,Mrs. James Joseph (Margaret Tobin) Brown,"Brown, Mrs. James Joseph (Margaret Tobin)",Southampton,0,No,195,Cherbourg,female,0,No,Survived,Survived,,PC 17610,44,40.6677,-74.0407,Point,27.7208,27,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
58,Southampton,B80,Women,First,"New York, United States",New York,C,Female,Miss. Elise Lurette,"Lurette, Miss. Elise",Southampton,0,No,196,Cherbourg,female,0,No,Survived,Survived,,PC 17569,58,40.6677,-74.0407,Point,146.5208,146,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
30,Southampton,L9,Men,Third,"New York, United States",New York,Q,Male,Mr. Robert Mernagh,"Mernagh, Mr. Robert",Southampton,0,No,197,Queenstown,male,0,No,Not Survived,Died,,368703,30,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
42,Southampton,L9,Men,Third,"New York, United States",New York,S,Male,Mr. Karl Siegwart Andreas Olsen,"Olsen, Mr. Karl Siegwart Andreas",Southampton,1,Yes,198,Southampton,male,0,No,Not Survived,Died,,4579,42,40.6677,-74.0407,Point,8.4042,8,1,50.9167,-1.38333,Point,1,3,LineString,0,0,0,41.726931,-49.948253
30,Southampton,L9,Women,Third,"New York, United States",New York,Q,Female,"Miss. Margaret ""Maggie"" Madigan","Madigan, Miss. Margaret ""Maggie""",Southampton,0,No,199,Queenstown,female,0,No,Survived,Survived,,370370,30,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
24,Southampton,L9,Women,Second,"New York, United States",New York,S,Female,"Miss. Henriette (""Mrs Harbeck"") Yrois","Yrois, Miss. Henriette (""Mrs Harbeck"")",Southampton,0,No,200,Southampton,female,0,No,Not Survived,Died,,248747,24,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
28,Southampton,L9,Men,Third,"New York, United States",New York,S,Male,Mr. Nestor Cyriel Vande Walle,"Vande Walle, Mr. Nestor Cyriel",Southampton,0,No,201,Southampton,male,0,No,Not Survived,Died,,345770,28,40.6677,-74.0407,Point,9.5,9,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
30,Southampton,L9,Men,Third,"New York, United States",New York,S,Male,Mr. Frederick Sage,"Sage, Mr. Frederick",Southampton,2,Yes,202,Southampton,male,8,Yes,Not Survived,Died,,CA. 2343,30,40.6677,-74.0407,Point,69.55,69,1,50.9167,-1.38333,Point,2,3,LineString,8,0,0,41.726931,-49.948253
34,Southampton,L9,Men,Third,"New York, United States",New York,S,Male,Mr. Jakob Alfred Johanson,"Johanson, Mr. Jakob Alfred",Southampton,0,No,203,Southampton,male,0,No,Not Survived,Died,,3101264,34,40.6677,-74.0407,Point,6.4958,6,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
,Southampton,A4,Men,Third,"New York, United States",New York,C,Male,Mr. Gerious Youseff,"Youseff, Mr. Gerious",Southampton,0,No,204,Cherbourg,male,0,No,Not Survived,Died,,2628,,40.6677,-74.0407,Point,7.225,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
18,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,"Mr. Gurshon ""Gus"" Cohen","Cohen, Mr. Gurshon ""Gus""",Southampton,0,No,205,Southampton,male,0,No,Survived,Survived,,A/5 3540,18,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
2,Southampton,G6,Children,Third,"New York, United States",New York,S,Female,Miss. Telma Matilda Strom,"Strom, Miss. Telma Matilda",Southampton,1,Yes,206,Southampton,female,0,No,Not Survived,Died,,347054,2,40.6677,-74.0407,Point,10.4625,10,1,50.9167,-1.38333,Point,1,3,LineString,0,0,0,41.726931,-49.948253
32,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Karl Alfred Backstrom,"Backstrom, Mr. Karl Alfred",Southampton,0,No,207,Southampton,male,1,Yes,Not Survived,Died,,3101278,32,40.6677,-74.0407,Point,15.85,15,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
26,Southampton,A4,Men,Third,"New York, United States",New York,C,Male,Mr. Nassef Cassem Albimona,"Albimona, Mr. Nassef Cassem",Southampton,0,No,208,Cherbourg,male,0,No,Survived,Survived,,2699,26,40.6677,-74.0407,Point,18.7875,18,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
16,Southampton,A4,Women,Third,"New York, United States",New York,Q,Female,"Miss. Helen ""Ellen"" Carr","Carr, Miss. Helen ""Ellen""",Southampton,0,No,209,Queenstown,female,0,No,Survived,Survived,,367231,16,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
40,Southampton,A31,Men,First,"New York, United States",New York,C,Male,Mr. Henry Blank,"Blank, Mr. Henry",Southampton,0,No,210,Cherbourg,male,0,No,Survived,Survived,,112277,40,40.6677,-74.0407,Point,31,31,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
24,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Ahmed Ali,"Ali, Mr. Ahmed",Southampton,0,No,211,Southampton,male,0,No,Not Survived,Died,,SOTON/O.Q. 3101311,24,40.6677,-74.0407,Point,7.05,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
34,Southampton,A4,Women,Second,"New York, United States",New York,S,Female,Miss. Clear Annie Cameron,"Cameron, Miss. Clear Annie",Southampton,0,No,212,Southampton,female,0,No,Survived,Survived,,F.C.C. 13528,35,40.6677,-74.0407,Point,21,21,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
22,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. John Henry Perkin,"Perkin, Mr. John Henry",Southampton,0,No,213,Southampton,male,0,No,Not Survived,Died,,A/5 21174,22,40.6677,-74.0407,Point,7.25,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Hans Kristensen Givard,"Givard, Mr. Hans Kristensen",Southampton,0,No,214,Southampton,male,0,No,Not Survived,Died,,250646,30,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,Q,Male,Mr. Philip Kiernan,"Kiernan, Mr. Philip",Southampton,0,No,215,Queenstown,male,1,Yes,Not Survived,Died,,367229,30,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
30,Southampton,D36,Women,First,"New York, United States",New York,C,Female,Miss. Madeleine Newell,"Newell, Miss. Madeleine",Southampton,0,No,216,Cherbourg,female,1,Yes,Survived,Survived,,35273,31,40.6677,-74.0407,Point,113.275,113,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
26,Southampton,A4,Women,Third,"New York, United States",New York,S,Female,Miss. Eliina Honkanen,"Honkanen, Miss. Eliina",Southampton,0,No,217,Southampton,female,0,No,Survived,Survived,,STON/O2. 3101283,27,40.6677,-74.0407,Point,7.925,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
42,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Sidney Samuel Jacobsohn,"Jacobsohn, Mr. Sidney Samuel",Southampton,0,No,218,Southampton,male,1,Yes,Not Survived,Died,,243847,42,40.6677,-74.0407,Point,27,27,1,50.9167,-1.38333,Point,0,2,LineString,1,0,0,41.726931,-49.948253
32,Southampton,D15,Women,First,"New York, United States",New York,C,Female,Miss. Albina Bazzani,"Bazzani, Miss. Albina",Southampton,0,No,219,Cherbourg,female,0,No,Survived,Survived,,11813,32,40.6677,-74.0407,Point,76.2917,76,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
30,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Walter Harris,"Harris, Mr. Walter",Southampton,0,No,220,Southampton,male,0,No,Not Survived,Died,,W/C 14208,30,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
16,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Victor Francis Sunderland,"Sunderland, Mr. Victor Francis",Southampton,0,No,221,Southampton,male,0,No,Survived,Survived,,SOTON/OQ 392089,16,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
26,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. James H Bracken,"Bracken, Mr. James H",Southampton,0,No,222,Southampton,male,0,No,Not Survived,Died,,220367,27,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
50,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. George Henry Green,"Green, Mr. George Henry",Southampton,0,No,223,Southampton,male,0,No,Not Survived,Died,,21440,51,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Christo Nenkoff,"Nenkoff, Mr. Christo",Southampton,0,No,224,Southampton,male,0,No,Not Survived,Died,,349234,30,40.6677,-74.0407,Point,7.8958,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
38,Southampton,C93,Men,First,"New York, United States",New York,S,Male,Mr. Frederick Maxfield Hoyt,"Hoyt, Mr. Frederick Maxfield",Southampton,0,No,225,Southampton,male,1,Yes,Survived,Survived,,19943,38,40.6677,-74.0407,Point,90,90,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
22,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Karl Ivar Sven Berglund,"Berglund, Mr. Karl Ivar Sven",Southampton,0,No,226,Southampton,male,0,No,Not Survived,Died,,PP 4348,22,40.6677,-74.0407,Point,9.35,9,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
18,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. William John Mellors,"Mellors, Mr. William John",Southampton,0,No,227,Southampton,male,0,No,Survived,Survived,,SW/PP 751,19,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,"Mr. John Hall (""Henry"") Lovell","Lovell, Mr. John Hall (""Henry"")",Southampton,0,No,228,Southampton,male,0,No,Not Survived,Died,,A/5 21173,,40.6677,-74.0407,Point,7.25,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
18,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Arne Jonas Fahlstrom,"Fahlstrom, Mr. Arne Jonas",Southampton,0,No,229,Southampton,male,0,No,Not Survived,Died,,236171,18,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Women,Third,"New York, United States",New York,S,Female,Miss. Mathilde Lefebre,"Lefebre, Miss. Mathilde",Southampton,1,Yes,230,Southampton,female,3,Yes,Not Survived,Died,,4133,30,40.6677,-74.0407,Point,25.4667,25,1,50.9167,-1.38333,Point,1,3,LineString,3,0,0,41.726931,-49.948253
34,Southampton,C83,Women,First,"New York, United States",New York,S,Female,Mrs. Henry Birkhardt (Irene Wallach) Harris,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Southampton,0,No,231,Southampton,female,1,Yes,Survived,Survived,,36973,35,40.6677,-74.0407,Point,83.475,83,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
28,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Bengt Edvin Larsson,"Larsson, Mr. Bengt Edvin",Southampton,0,No,232,Southampton,male,0,No,Not Survived,Died,,347067,29,40.6677,-74.0407,Point,7.775,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
58,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Ernst Adolf Sjostedt,"Sjostedt, Mr. Ernst Adolf",Southampton,0,No,233,Southampton,male,0,No,Not Survived,Died,,237442,59,40.6677,-74.0407,Point,13.5,13,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
4,Southampton,A4,Children,Third,"New York, United States",New York,S,Female,Miss. Lillian Gertrud Asplund,"Asplund, Miss. Lillian Gertrud",Southampton,2,Yes,234,Southampton,female,4,Yes,Survived,Survived,,347077,5,40.6677,-74.0407,Point,31.3875,31,1,50.9167,-1.38333,Point,2,3,LineString,4,1,1,41.726931,-49.948253
24,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Robert William Norman Leyson,"Leyson, Mr. Robert William Norman",Southampton,0,No,235,Southampton,male,0,No,Not Survived,Died,,C.A. 29566,24,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Women,Third,"New York, United States",New York,S,Female,Miss. Alice Phoebe Harknett,"Harknett, Miss. Alice Phoebe",Southampton,0,No,236,Southampton,female,0,No,Not Survived,Died,,W./C. 6609,30,40.6677,-74.0407,Point,7.55,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
44,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Stephen Hold,"Hold, Mr. Stephen",Southampton,0,No,237,Southampton,male,1,Yes,Not Survived,Died,,26707,44,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,0,2,LineString,1,0,0,41.726931,-49.948253
8,Southampton,A4,Children,Second,"New York, United States",New York,S,Female,"Miss. Marjorie ""Lottie"" Collyer","Collyer, Miss. Marjorie ""Lottie""",Southampton,2,Yes,238,Southampton,female,0,No,Survived,Survived,,C.A. 31921,8,40.6677,-74.0407,Point,26.25,26,1,50.9167,-1.38333,Point,2,2,LineString,0,1,1,41.726931,-49.948253
18,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Frederick William Pengelly,"Pengelly, Mr. Frederick William",Southampton,0,No,239,Southampton,male,0,No,Not Survived,Died,,28665,19,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
32,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. George Henry Hunt,"Hunt, Mr. George Henry",Southampton,0,No,240,Southampton,male,0,No,Not Survived,Died,,SCO/W 1585,33,40.6677,-74.0407,Point,12.275,12,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Women,Third,"New York, United States",New York,C,Female,Miss. Thamine Zabour,"Zabour, Miss. Thamine",Southampton,0,No,241,Cherbourg,female,1,Yes,Not Survived,Died,,2665,30,40.6677,-74.0407,Point,14.4542,14,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
30,Southampton,A4,Women,Third,"New York, United States",New York,Q,Female,"Miss. Katherine ""Kate"" Murphy","Murphy, Miss. Katherine ""Kate""",Southampton,0,No,242,Queenstown,female,1,Yes,Survived,Survived,,367230,30,40.6677,-74.0407,Point,15.5,15,1,50.9167,-1.38333,Point,0,3,LineString,1,1,1,41.726931,-49.948253
28,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. Reginald Charles Coleridge,"Coleridge, Mr. Reginald Charles",Southampton,0,No,243,Southampton,male,0,No,Not Survived,Died,,W./C. 14263,29,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
22,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Matti Alexanteri Maenpaa,"Maenpaa, Mr. Matti Alexanteri",Southampton,0,No,244,Southampton,male,0,No,Not Survived,Died,,STON/O 2. 3101275,22,40.6677,-74.0407,Point,7.125,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,C,Male,Mr. Sleiman Attalah,"Attalah, Mr. Sleiman",Southampton,0,No,245,Cherbourg,male,0,No,Not Survived,Died,,2694,30,40.6677,-74.0407,Point,7.225,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
44,Southampton,C78,Men,First,"New York, United States",New York,Q,Male,Dr. William Edward Minahan,"Minahan, Dr. William Edward",Southampton,0,No,246,Queenstown,male,2,Yes,Not Survived,Died,,19928,44,40.6677,-74.0407,Point,90,90,1,50.9167,-1.38333,Point,0,1,LineString,2,0,0,41.726931,-49.948253
24,Southampton,A4,Women,Third,"New York, United States",New York,S,Female,Miss. Agda Thorilda Viktoria Lindahl,"Lindahl, Miss. Agda Thorilda Viktoria",Southampton,0,No,247,Southampton,female,0,No,Not Survived,Died,,347071,25,40.6677,-74.0407,Point,7.775,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
24,Southampton,A4,Women,Second,"New York, United States",New York,S,Female,Mrs. William (Anna) Hamalainen,"Hamalainen, Mrs. William (Anna)",Southampton,2,Yes,248,Southampton,female,0,No,Survived,Survived,,250649,24,40.6677,-74.0407,Point,14.5,14,1,50.9167,-1.38333,Point,2,2,LineString,0,1,1,41.726931,-49.948253
36,Southampton,D35,Men,First,"New York, United States",New York,S,Male,Mr. Richard Leonard Beckwith,"Beckwith, Mr. Richard Leonard",Southampton,1,Yes,249,Southampton,male,1,Yes,Survived,Survived,,11751,37,40.6677,-74.0407,Point,52.5542,52,1,50.9167,-1.38333,Point,1,1,LineString,1,1,1,41.726931,-49.948253
54,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Rev. Ernest Courtenay Carter,"Carter, Rev. Ernest Courtenay",Southampton,0,No,250,Southampton,male,1,Yes,Not Survived,Died,,244252,54,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,0,2,LineString,1,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. James George Reed,"Reed, Mr. James George",Southampton,0,No,251,Southampton,male,0,No,Not Survived,Died,,362316,30,40.6677,-74.0407,Point,7.25,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
28,Southampton,G6,Women,Third,"New York, United States",New York,S,Female,Mrs. Wilhelm (Elna Matilda Persson) Strom,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Southampton,1,Yes,252,Southampton,female,1,Yes,Not Survived,Died,,347054,29,40.6677,-74.0407,Point,10.4625,10,1,50.9167,-1.38333,Point,1,3,LineString,1,0,0,41.726931,-49.948253
62,Southampton,C87,Men,First,"New York, United States",New York,S,Male,Mr. William Thomas Stead,"Stead, Mr. William Thomas",Southampton,0,No,253,Southampton,male,0,No,Not Survived,Died,,113514,62,40.6677,-74.0407,Point,26.55,26,1,50.9167,-1.38333,Point,0,1,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. William Arthur Lobb,"Lobb, Mr. William Arthur",Southampton,0,No,254,Southampton,male,1,Yes,Not Survived,Died,,A/5. 3336,30,40.6677,-74.0407,Point,16.1,16,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
40,Southampton,A4,Women,Third,"New York, United States",New York,S,Female,Mrs. Viktor (Helena Wilhelmina) Rosblom,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Southampton,2,Yes,255,Southampton,female,0,No,Not Survived,Died,,370129,41,40.6677,-74.0407,Point,20.2125,20,1,50.9167,-1.38333,Point,2,3,LineString,0,0,0,41.726931,-49.948253
28,Southampton,A4,Women,Third,"New York, United States",New York,C,Female,Mrs. Darwis (Hanne Youssef Razi) Touma,"Touma, Mrs. Darwis (Hanne Youssef Razi)",Southampton,2,Yes,256,Cherbourg,female,0,No,Survived,Survived,,2650,29,40.6677,-74.0407,Point,15.2458,15,1,50.9167,-1.38333,Point,2,3,LineString,0,1,1,41.726931,-49.948253
30,Southampton,A4,Women,First,"New York, United States",New York,C,Female,Mrs. Gertrude Maybelle Thorne,"Thorne, Mrs. Gertrude Maybelle",Southampton,0,No,257,Cherbourg,female,0,No,Survived,Survived,,PC 17585,30,40.6677,-74.0407,Point,79.2,79,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
30,Southampton,B77,Women,First,"New York, United States",New York,S,Female,Miss. Gladys Cherry,"Cherry, Miss. Gladys",Southampton,0,No,258,Southampton,female,0,No,Survived,Survived,,110152,30,40.6677,-74.0407,Point,86.5,86,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
34,Southampton,A4,Women,First,"New York, United States",New York,C,Female,Miss. Anna Ward,"Ward, Miss. Anna",Southampton,0,No,259,Cherbourg,female,0,No,Survived,Survived,,PC 17755,35,40.6677,-74.0407,Point,512.3292,512,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
50,Southampton,A4,Women,Second,"New York, United States",New York,S,Female,Mrs. (Lutie Davis) Parrish,"Parrish, Mrs. (Lutie Davis)",Southampton,1,Yes,260,Southampton,female,0,No,Survived,Survived,,230433,50,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,1,2,LineString,0,1,1,41.726931,-49.948253
30,Southampton,A4,Men,Third,"New York, United States",New York,Q,Male,Mr. Thomas Smith,"Smith, Mr. Thomas",Southampton,0,No,261,Queenstown,male,0,No,Not Survived,Died,,384461,30,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
2,Southampton,A4,Children,Third,"New York, United States",New York,S,Male,Master. Edvin Rojj Felix Asplund,"Asplund, Master. Edvin Rojj Felix",Southampton,2,Yes,262,Southampton,male,4,Yes,Survived,Survived,,347077,3,40.6677,-74.0407,Point,31.3875,31,1,50.9167,-1.38333,Point,2,3,LineString,4,1,1,41.726931,-49.948253
52,Southampton,E67,Men,First,"New York, United States",New York,S,Male,Mr. Emil Taussig,"Taussig, Mr. Emil",Southampton,1,Yes,263,Southampton,male,1,Yes,Not Survived,Died,,110413,52,40.6677,-74.0407,Point,79.65,79,1,50.9167,-1.38333,Point,1,1,LineString,1,0,0,41.726931,-49.948253
40,Southampton,B94,Men,First,"New York, United States",New York,S,Male,Mr. William Harrison,"Harrison, Mr. William",Southampton,0,No,264,Southampton,male,0,No,Not Survived,Died,,112059,40,40.6677,-74.0407,Point,0,0,1,50.9167,-1.38333,Point,0,1,LineString,0,0,0,41.726931,-49.948253
30,Southampton,A4,Women,Third,"New York, United States",New York,Q,Female,Miss. Delia Henry,"Henry, Miss. Delia",Southampton,0,No,265,Queenstown,female,0,No,Not Survived,Died,,382649,30,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
36,Southampton,A4,Men,Second,"New York, United States",New York,S,Male,Mr. David Reeves,"Reeves, Mr. David",Southampton,0,No,266,Southampton,male,0,No,Not Survived,Died,,C.A. 17248,36,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
16,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Ernesti Arvid Panula,"Panula, Mr. Ernesti Arvid",Southampton,1,Yes,267,Southampton,male,4,Yes,Not Survived,Died,,3101295,16,40.6677,-74.0407,Point,39.6875,39,1,50.9167,-1.38333,Point,1,3,LineString,4,0,0,41.726931,-49.948253
24,Southampton,A4,Men,Third,"New York, United States",New York,S,Male,Mr. Ernst Ulrik Persson,"Persson, Mr. Ernst Ulrik",Southampton,0,No,268,Southampton,male,1,Yes,Survived,Survived,,347083,25,40.6677,-74.0407,Point,7.775,7,1,50.9167,-1.38333,Point,0,3,LineString,1,1,1,41.726931,-49.948253
